plot_id,entity_id,plot_number,species,variety,year_started,polygon_area,total_coffee_area,coffee_area_active,coffee_area_rejuvenation,coffee_area_intercropping,intercropping_crops
905,7955439997586682339,1.0,,ROBUSTA Thi?n Tr??ng,2019.0,,2.2,0.0,0.0,0.0,"Avocado,Durian,Macadamia"
906,1470002575936436430,1.0,True,LEMPIRA,2005.0,,4.99,5.0,0.0,0.0,"Shade trees,Timber"
907,1470002575945829351,1.0,,Robusta,2005.0,,3.65,3.65,0.0,0.0,
908,1470002575945829459,1.0,,Robusta,1999.0,,2.75,2.75,0.0,0.0,
909,7955439997586683618,5.0,,ROBUSTA Thi?n Tr??ng,2000.0,,0.32,0.0,0.0,0.0,"Avocado,Durian"
910,7955439997586683618,3.0,,ROBUSTA Thi?n Tr??ng,2001.0,,0.25,0.0,0.0,0.0,
911,7955439997586683618,1.0,,ROBUSTA Thi?n Tr??ng,2006.0,,0.5,0.0,0.0,0.0,Durian
912,7955439997586683618,4.0,,ROBUSTA Thi?n Tr??ng,2009.0,,0.15,0.0,0.0,0.0,"Avocado,Durian"
913,1470002575945829970,1.0,,Robusta,1990.0,,2.6,2.6,0.0,0.0,
914,7955439997586685923,1.0,,Robusta TR4,2009.0,,0.3,0.0,0.0,0.0,"Cashew,Rubber"
915,7955439997586682259,1.0,,ROBUSTA Thi?n Tr??ng,2000.0,,3.7,0.0,0.0,0.0,Durian
916,7955439997586683461,1.0,,ROBUSTA Thi?n Tr??ng,2013.0,,0.8,0.0,0.0,0.0,
917,7955439997586685935,1.0,,ROBUSTA Thi?n Tr??ng,2000.0,,0.4,0.0,0.0,0.0,Cashew
918,7955439997586687500,3.0,,Robusta TR4,2015.0,,0.3,0.0,0.0,0.0,
919,7955439997586687500,1.0,,ROBUSTA Local variety,1995.0,,0.3,0.0,0.0,0.0,
920,7955439997586687500,2.0,,Robusta TR4,1990.0,,0.6,0.0,0.0,0.0,Black Pepper
921,7955439997586687354,2.0,,Robusta TR4,2000.0,,0.9,0.0,0.0,0.0,"Avocado,Black Pepper,Durian"
922,7955439997586687354,3.0,,Robusta TR4,2017.0,,1.15,0.0,0.0,0.0,
923,7955439997586687354,1.0,,Robusta TR4,1995.0,,0.4,0.0,0.0,0.0,
924,7955439997586682286,1.0,,ROBUSTA Thi?n Tr??ng,1990.0,,1.5,0.0,0.0,0.0,"Avocado,Durian,Passion Fruit"
925,7955439997586683467,1.0,,ROBUSTA Thi?n Tr??ng,2007.0,,1.3,0.0,0.0,0.0,
926,1470002575936435800,1.0,True,LEMPIRA,2007.0,,6.11,6.0,0.0,0.0,Shade trees
927,7955439997586683653,2.0,,ROBUSTA Thi?n Tr??ng,2004.0,,1.2,0.0,0.0,0.0,"Avocado,Banana,Black Pepper,Durian"
928,7955439997586683653,1.0,,ROBUSTA Thi?n Tr??ng,2000.0,,0.51,0.0,0.0,0.0,"Avocado,Black Pepper,Durian"
929,7955439997586683667,1.0,,Robusta TR4,2003.0,,0.2,0.0,0.0,0.0,"Avocado,Durian,Mangosteen"
930,7955439997586683667,2.0,,Robusta TR4,2001.0,,1.5,0.0,0.0,0.0,
931,1470002575945827521,1.0,,Robusta,1994.0,,1.1,1.1,0.0,0.0,
932,1470002575945826113,1.0,,Robusta,1990.0,,1.63,1.63,0.0,0.0,
933,1469278379854782229,1.0,,ROBUSTA Thi?n Tr??ng,2015.0,,3.0,0.0,0.0,0.0,Black Pepper
934,1470002575945823188,1.0,,Robusta,1987.0,,0.8,0.8,0.0,0.0,"Cassava,Cocoa (Theobroma cacao),Vegetable"
935,1470002575945823560,,,,,,,,,,
936,1470157558564695065,2.0,,ROBUSTA Local variety,1990.0,,1.0,0.9,0.1,1.0,Durian
937,1470157558564695065,1.0,,ROBUSTA Local variety,1994.0,,1.5,1.35,0.15,1.5,Durian
938,1470002575945822966,1.0,,Robusta,1996.0,,3.2,3.2,0.0,0.0,Cocoa (Theobroma cacao)
939,1470002575945819598,1.0,,Robusta,1974.0,,2.38,2.38,0.0,0.0,Shade trees
940,1470002575945819598,1.0,,Robusta,1974.0,,2.38,2.38,0.0,0.0,
941,1470002575945819604,1.0,,Robusta,1987.0,,2.84,2.84,0.0,0.0,
942,1470002575945826851,1.0,,Robusta,1976.0,,1.6,1.6,0.0,0.0,
943,1470002575945819373,1.0,,Robusta,1998.0,,3.63,3.63,0.0,0.0,
944,1470002575945822925,1.0,,Robusta,1985.0,,4.4,4.4,0.0,0.0,
945,1470002575945823612,1.0,,Robusta,1993.0,,5.0,5.0,0.0,0.0,
946,1469592163271958238,1.0,,FRT07,2001.0,,5.0,0.0,0.0,0.0,"Cocoa (Theobroma cacao),Shade trees"
947,1470002575945819884,1.0,False,Robusta,1991.0,,0.7,0.7,0.0,0.0,Shade trees
948,1469592163271954699,1.0,,FRT07,2002.0,,7.0,0.0,0.0,0.0,Shade trees
949,1469592163271956459,1.0,,FRT06,2015.0,,6.0,0.0,0.0,0.0,"Fruit Tree,Shade trees"
950,1470157558564695029,1.0,,ROBUSTA Thi?n Tr??ng,2000.0,,0.8,0.72,0.08,0.8,Durian
951,1470157558564695029,2.0,,Robusta,2001.0,,0.33,0.3,0.03,0.33,Durian
952,1469592163271958696,1.0,,FRT09,1990.0,,6.0,0.0,0.0,0.0,Shade trees
953,1469278379855013201,1.0,,Robusta TR4,2011.0,,2.0,0.0,0.0,0.0,Macadamia
954,1470157558564694968,2.0,,Robusta,2001.0,,0.97,0.87,0.1,0.97,Durian
955,1470157558564694968,1.0,,Robusta,2001.0,,0.95,0.85,0.09,0.95,Durian
956,1469592163271956517,1.0,,Criollo,1990.0,,3.0,0.0,0.0,0.0,"Fruit Tree,Shade trees"
957,1469278379855013711,1.0,,Robusta TR4,2016.0,,1.0,0.0,0.0,0.0,
958,1469278379855013162,1.0,,Robusta TR4,2000.0,,1.8,0.0,0.0,0.0,
959,1470157558564695503,2.0,,ROBUSTA Local variety,1994.0,,0.7,0.63,0.07,0.7,Durian
960,1470157558564695503,1.0,,ROBUSTA Local variety,1994.0,,1.0,0.9,0.1,1.0,Durian
961,1469278379855013999,1.0,,Robusta TR4,1996.0,,1.0,0.0,0.0,0.0,
962,1469278379855013178,1.0,,Robusta TR4,2005.0,,1.0,0.0,0.0,0.0,
963,1469278379855013709,1.0,,Robusta TR4,2007.0,,1.0,0.0,0.0,0.0,"Avocado,Black Pepper,Durian"
964,1470157558564695302,1.0,,Robusta,1999.0,,1.4,1.26,0.14,1.4,Avocado
965,1469278379855013866,1.0,,ROBUSTA Local variety,1995.0,,1.0,0.0,0.0,0.0,"Durian,Macadamia"
966,1470157558564695246,2.0,,Robusta,1999.0,,0.65,0.59,0.07,0.43,Durian
967,1470157558564695246,1.0,,Robusta TR4,1998.0,,2.0,1.8,0.2,0.65,Durian
968,1470157558564695246,3.0,,Robusta TR4,1998.0,,0.43,0.39,0.04,0.08,Durian
969,1469278379855014013,1.0,,Robusta TR4,2005.0,,1.0,0.0,0.0,0.0,
970,1470002575945826812,1.0,,Robusta,1990.0,,0.5,0.5,0.0,0.0,
971,1470002575945815400,1.0,,Robusta,2005.0,,2.5,2.5,0.0,0.0,
972,1470157558564696020,2.0,,ROBUSTA Local variety,1999.0,,0.64,0.58,0.06,0.64,SanDalbergia odoriferalwood
